,Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,Elite%,review_id,1_weight,2_weight,3_weight,4_weight,5_weight,6_weight,7_weight,8_weight,fpl_id,Value,real_id,team,Missing
11,F,11,Nketiah,6.0,6.0,Arsenal,1.4,0.138,1.4,0.11199999999999999,0.8,0.048,1.4,0.09399999999999999,1.4,0.08,1.4,0.134,2.0,0.158,1.4,0.33863731249999995,0.0,11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.0,6.0,11,0,0.0
12,M,12,Nwaneri,4.5,4.5,Arsenal,19.0,0.99,21.0,0.95,22.0,1.0800000000000003,23.0,1.0,23.0,0.94,24.0,1.28,23.0,1.24,23.0,4.03264875,0.0,12,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,12,0,0.0
13,M,13,Ødegaard,8.5,8.5,Arsenal,90.0,5.845999999999999,88.8,4.696,87.6,5.636,87.6,4.508,86.4,3.5320000000000005,85.2,6.52,85.2,6.445999999999999,85.8,12.400705499999999,0.17,13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.0,8.5,13,0,0.0
14,G,14,Ramsdale,4.5,4.5,Arsenal,2.0,0.07,3.0,0.13,3.0,0.14,4.0,0.16,6.0,0.2,5.0,0.23,6.0,0.2700000000000001,6.0,1.02526325,0.01,14,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,14,0,0.0
15,G,15,Raya,5.5,5.5,Arsenal,91.8,4.29,91.2,3.588,91.2,3.97,90.6,3.4339999999999997,89.4,3.1320000000000006,90.0,4.172,89.4,4.146,88.8,9.403287375,0.23,15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,5.5,15,0,0.0
16,M,16,Rice,6.5,6.5,Arsenal,83.4,3.6120000000000005,85.2,3.0820000000000003,85.2,3.5420000000000003,84.6,2.93,84.0,2.3959999999999995,82.8,4.053999999999999,82.8,4.002000000000001,82.2,7.710110525,0.06,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.0,6.5,16,0,0.0
17,M,17,Saka,10.0,10.0,Arsenal,83.6,6.747999999999999,84.2,5.488,83.0,6.622000000000001,83.0,5.082,83.0,4.127999999999999,81.2,7.608,80.6,7.514000000000001,81.2,14.4864480125,0.26,17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.0,10.0,17,0,0.0
18,D,18,Saliba,6.0,6.0,Arsenal,91.2,4.458,88.8,3.11,87.0,3.8620000000000005,86.4,2.7439999999999998,86.4,1.9439999999999997,85.2,4.284,85.2,4.252,85.2,8.4124159875,0.4,18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.0,6.0,18,0,0.0
19,M,19,Smith Rowe,5.5,5.5,Fulham,63.6,2.9419999999999997,62.4,3.914,61.2,3.516,60.6,3.5120000000000005,64.2,3.4219999999999997,64.2,3.2939999999999996,63.0,2.344,64.2,8.5823884125,0.06,19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19.0,5.5,19,0,0.0
20,M,20,Thomas,5.0,5.0,Arsenal,40.2,1.5560000000000003,38.4,1.3,38.4,1.474,38.4,1.258,37.2,1.042,38.4,1.6660000000000001,38.4,1.6580000000000001,40.2,3.61245635,0.0,20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,5.0,20,0,0.0
21,D,21,Tierney,4.5,4.5,Arsenal,36.0,0.0,36.0,0.012,36.0,0.008,36.0,0.012,36.0,0.024,36.0,0.036,36.0,0.028000000000000004,36.6,0.064,0.0,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.0,4.5,21,0,0.0
22,D,22,Tomiyasu,5.0,5.0,Arsenal,36.6,0.066,41.4,0.31799999999999995,46.2,0.7319999999999999,49.8,0.748,55.2,0.812,55.2,1.544,55.8,1.5220000000000002,54.6,3.3921979749999998,0.0,22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,5.0,22,0,0.0
23,M,23,Trossard,7.0,7.0,Arsenal,50.4,3.53,48.6,2.844,49.8,3.4139999999999997,48.0,2.6639999999999997,49.2,2.202,49.8,4.036,49.8,3.998,49.2,7.752031049999999,0.03,23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,7.0,23,0,0.0
24,D,24,White,6.5,6.5,Arsenal,88.8,4.521999999999999,86.4,3.2060000000000004,83.4,3.83,84.0,2.842,82.8,1.9739999999999998,82.8,4.263999999999999,82.2,4.2620000000000005,81.0,8.2718202875,0.12,24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,6.5,24,0,0.0
25,D,25,Zinchenko,5.0,5.0,Arsenal,65.4,3.4160000000000004,60.6,2.084,57.0,2.048,52.8,1.3159999999999998,50.4,0.946,51.6,1.8060000000000003,50.4,1.75,51.0,3.2685630750000008,0.02,25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,5.0,25,0,0.0
26,D,26,Alex Moreno,4.5,4.5,Aston Villa,45.0,0.634,45.6,0.574,46.2,0.778,47.4,0.828,46.8,0.8440000000000001,46.8,0.82,48.6,0.7959999999999999,48.6,2.1361225625,0.01,26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,26.0,4.5,26,0,0.0
27,F,27,Archer,5.0,5.0,Aston Villa,7.4,0.43199999999999994,7.4,0.384,8.0,0.51,8.0,0.52,8.0,0.536,9.2,0.588,9.2,0.554,9.2,1.6207591625,0.01,27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27.0,5.0,27,0,0.0
28,M,28,Bailey,6.5,6.5,Aston Villa,70.4,3.7520000000000007,69.2,3.108,68.0,4.216,66.2,4.012,65.0,4.098000000000001,64.4,4.01,63.8,3.6519999999999997,63.8,8.6878360375,0.05,28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.0,6.5,28,0,0.0
29,M,29,Barkley,5.5,5.5,Aston Villa,29.2,1.3339999999999999,30.4,1.188,31.0,1.58,26.8,1.382,28.6,1.462,26.2,1.35,27.4,1.314,26.2,3.3150818875,0.01,29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.0,5.5,29,0,0.0
30,M,30,Barrenechea,5.0,5.0,Aston Villa,6.0,0.2,7.0,0.22,8.0,0.29,6.0,0.22,4.0,0.16,4.0,0.14,4.0,0.13,4.0,0.5682371875,0.0,30,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,30,0,0.0
31,M,31,Buendia,5.5,5.5,Aston Villa,12.6,0.6759999999999999,13.8,0.628,15.0,0.8640000000000001,14.4,0.8280000000000001,13.2,0.792,13.8,0.8,13.8,0.762,15.6,2.0064498250000002,0.0,31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31.0,5.5,31,0,0.0
32,D,32,Cash,4.5,4.5,Aston Villa,70.8,2.0039999999999996,71.4,1.5919999999999999,68.4,2.296,69.0,2.538,67.8,2.508,69.0,2.37,67.8,1.926,66.0,4.8255959,0.03,32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,32.0,4.5,32,0,0.0
33,M,33,Dendoncker,4.5,4.5,Aston Villa,7.0,0.33,8.0,0.37,10.0,0.49,8.0,0.4,5.0,0.2700000000000001,5.0,0.26,5.0,0.2700000000000001,5.0,0.9668079375,0.01,33,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,33,0,0.0
34,M,34,Diaby,6.5,6.5,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,34,0,0.0
35,D,35,Diego Carlos,4.5,4.5,Aston Villa,64.2,1.192,67.2,1.074,67.2,1.608,64.8,1.704,62.4,1.602,61.2,1.4339999999999997,62.4,1.218,61.8,3.3423837624999995,0.01,35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35.0,4.5,35,0,0.0
36,D,36,Digne,4.5,4.5,Aston Villa,54.6,1.3619999999999999,52.8,1.022,55.2,1.54,55.2,1.61,54.6,1.598,55.2,1.5319999999999998,54.6,1.294,55.8,3.4255226750000003,0.02,36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.0,4.5,36,0,0.0
37,M,37,Dobbin,5.0,5.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,37,0,0.0
38,F,38,Duran,6.0,6.0,Aston Villa,22.851999999999997,1.48,22.851999999999997,1.018,24.651999999999997,1.392,24.052,1.3539999999999999,24.651999999999997,1.4140000000000001,24.651999999999997,1.43,25.252,1.3359999999999999,25.851999999999997,3.90691965,0.0,38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.0,6.0,38,0,0.0
39,G,39,Gauci,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,39,0,0.0
40,D,40,Hause,4.0,4.0,Aston Villa,2.0,0.04,2.0,0.05999999999999999,3.0,0.1,2.0,0.07,1.0,0.04,0.0,0.0,1.0,0.04,1.0,0.1582828124999999,0.01,40,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,40,0,0.0
41,M,41,Iling Jr,5.5,5.5,Aston Villa,5.0,0.36,7.0,0.41,7.0,0.47,9.0,0.55,8.0,0.52,9.0,0.58,9.0,0.55,9.0,2.1091839375,0.0,41,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,41,0,0.0
42,M,42,Kamara,5.0,5.0,Aston Villa,9.915999999999999,0.0,9.915999999999999,0.0,9.915999999999999,0.0,29.116,0.996,44.716,1.9040000000000001,50.716,2.04,50.11600000000001,1.8940000000000001,49.516000000000005,4.8836355,0.0,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.0,5.0,42,0,0.0
43,D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,43,0,0.0
44,D,44,Konsa,4.5,4.5,Aston Villa,90.0,2.556,88.8,2.012,88.8,3.0779999999999994,87.0,3.4560000000000004,86.4,3.37,85.8,3.1239999999999997,85.8,2.56,85.8,6.347037325,0.16,44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.0,4.5,44,0,0.0
45,D,45,Maatsen,5.0,5.0,Aston Villa,67.8,1.672,69.0,1.546,66.0,2.1639999999999997,66.0,2.494,66.6,2.464,65.4,2.298,64.8,1.9080000000000001,63.6,4.7105456624999995,0.05,45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,5.0,45,0,0.0
46,G,46,Marschall,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,46,0,0.0
47,G,47,Martinez,5.0,5.0,Aston Villa,91.8,3.3820000000000006,91.8,3.154,91.2,3.634,90.6,3.708,90.6,3.702,90.6,3.6,90.6,3.2679999999999993,91.2,8.69931595,0.13,47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.0,5.0,47,0,0.0
48,M,48,McGinn,5.5,5.5,Aston Villa,88.0,3.1240000000000006,86.2,2.66,86.2,3.514,85.6,3.45,83.8,3.516,83.2,3.45,83.2,3.19,82.0,7.7750874,0.02,48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.0,5.5,48,0,0.0
49,D,49,Mings,4.5,4.5,Aston Villa,36.0,0.008,36.0,0.012,36.0,0.012,43.8,0.482,54.6,1.088,58.8,1.254,58.2,0.998,58.2,2.9175827875000007,0.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.0,4.5,49,0,0.0
50,D,50,Nedeljkovic,4.0,4.0,Aston Villa,36.6,0.32799999999999996,37.2,0.306,37.8,0.41,37.8,0.49000000000000005,37.8,0.44,37.8,0.4640000000000001,37.8,0.414,38.4,0.6016637374999999,0.0,50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,4.0,50,0,0.0
51,G,51,Olsen,4.5,4.5,Aston Villa,1.0,0.05,2.0,0.05999999999999999,3.0,0.11999999999999998,4.0,0.17,4.0,0.16,4.0,0.17,4.0,0.13,3.0,0.4701819375,0.0,51,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,51,0,0.0
52,D,52,Pau,4.5,4.5,Aston Villa,85.8,2.376,81.6,1.822,82.8,2.796,78.6,2.926,74.4,2.616,71.4,2.3160000000000003,71.4,1.9580000000000002,72.0,4.7164514125,0.02,52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.0,4.5,52,0,0.0
53,M,53,Ramsey,5.5,5.5,Aston Villa,37.6,1.726,39.4,1.5659999999999998,39.4,2.01,38.8,1.96,37.0,1.918,36.4,1.876,36.4,1.75,37.0,4.632798987499999,0.0,53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.0,5.5,53,0,0.0
54,M,54,Rogers,5.0,5.0,Aston Villa,68.4,2.9760000000000004,67.8,2.53,66.0,3.286,66.0,3.242,65.4,3.292,64.2,3.21,63.6,2.8959999999999995,63.0,7.438969725,0.07,54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,5.0,54,0,0.0
55,G,55,Sinisalo,4.0,4.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,55,0,0.0
56,D,56,Sousa,4.0,4.0,Aston Villa,36.0,0.008,36.0,0.008,36.0,0.008,36.0,0.012,36.0,0.008,36.0,0.012,36.0,0.012,36.0,0.012,0.0,56,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.0,4.0,56,0,0.0
57,M,57,Tielemans,5.5,5.5,Aston Villa,64.8,2.608,64.2,2.27,63.0,2.944,62.4,2.86,59.4,2.7940000000000005,59.4,2.71,58.8,2.5380000000000003,58.8,6.235889312499999,0.01,57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.0,5.5,57,0,0.0
58,F,58,Watkins,9.0,9.0,Aston Villa,87.164,4.498,86.564,4.158,84.764,5.566,83.564,5.417999999999999,84.164,5.606,82.964,5.518,82.964,5.074000000000001,83.564,12.268729412499999,0.49,58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.0,9.0,58,0,0.0
59,D,59,Aarons,4.5,4.5,Bournemouth,52.2,0.8719999999999999,53.4,0.84,54.6,0.9080000000000001,55.2,0.836,54.6,0.56,54.6,1.15,54.6,0.9660000000000001,57.0,2.2316607124999996,0.0,59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,4.5,59,0,0.0
60,M,60,Adams,5.0,5.0,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5169971249999996,0.0,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,60,0,0.0
61,M,61,Anthony,4.5,4.5,Bournemouth,3.0,0.21,4.0,0.29,5.0,0.34,5.0,0.31,4.0,0.2700000000000001,4.0,0.32,6.0,0.38,5.0,1.2943125,0.01,61,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,61,0,0.0
62,M,62,Brooks,5.0,5.0,Bournemouth,0.4,0.02,0.4,0.024,2.8,0.16399999999999998,5.2,0.31199999999999994,5.8,0.29200000000000004,5.8,0.4,5.8,0.354,5.8,1.1338422125,0.0,62,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.0,5.0,62,0,0.0
63,M,63,Christie,5.0,5.0,Bournemouth,77.6,2.642,76.4,2.6519999999999997,75.8,2.496,74.0,2.528,73.4,2.074,73.4,3.1020000000000003,73.4,2.75,72.2,5.541779449999999,0.0,63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.0,5.0,63,0,0.0
64,M,64,Cook,5.0,5.0,Bournemouth,89.2,2.488,86.2,2.49,86.2,2.3480000000000003,85.0,2.3939999999999997,83.2,1.972,82.6,2.842,82.6,2.5580000000000003,81.4,5.3457034,0.0,64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.0,5.0,64,0,0.0
65,F,65,Enes Ünal,5.5,5.5,Bournemouth,8.66,0.0,8.66,0.0,8.66,0.0,16.46,1.1079999999999999,23.66,1.8419999999999999,26.66,3.082,27.86,2.83,26.66,4.6348559625000005,0.0,65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.0,5.5,65,0,0.0
66,M,66,Faivre,5.0,5.0,Bournemouth,7.0,0.38,7.0,0.41,8.0,0.45,8.0,0.45,8.0,0.38,7.0,0.47,8.0,0.5,9.0,1.7249968124999997,0.0,66,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,66,0,0.0
67,M,67,H.Traorè,4.5,4.5,Bournemouth,7.0,0.46,8.0,0.52,10.0,0.53,8.0,0.5,8.0,0.43,8.0,0.58,8.0,0.53,9.0,1.835429625,0.0,67,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,67,0,0.0
68,D,68,Hill,4.0,4.0,Bournemouth,37.8,0.15400000000000003,39.0,0.20200000000000004,40.2,0.242,40.8,0.23600000000000002,40.8,0.166,42.0,0.4159999999999999,42.0,0.35400000000000004,42.6,0.6834106,0.0,68,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.0,4.0,68,0,0.0
69,F,69,Jebbison,4.5,4.5,Bournemouth,2.0,0.15,3.0,0.21,3.0,0.23,3.0,0.25,2.0,0.13,1.0,0.11,2.0,0.15,2.0,0.435011875,0.01,69,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,69,0,0.0
70,D,70,Kerkez,4.5,4.5,Bournemouth,82.2,2.6239999999999997,81.0,2.3080000000000003,79.8,2.336,78.6,2.012,79.2,1.2,78.6,3.0440000000000005,78.0,2.436,78.6,4.557339162500001,0.01,70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,4.5,70,0,0.0
71,M,71,Kluivert,5.5,5.5,Bournemouth,67.2,3.1319999999999997,66.6,3.234,66.0,2.952,64.8,3.0580000000000003,63.6,2.422,63.0,3.6860000000000004,62.4,3.266,61.8,6.416431687499999,0.01,71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,5.5,71,0,0.0
72,D,72,Mepham,4.5,4.5,Bournemouth,40.8,0.318,44.4,0.41800000000000004,44.4,0.444,46.2,0.46,46.2,0.304,47.4,0.7019999999999998,48.0,0.624,48.0,1.29239805,0.0,72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.0,4.5,72,0,0.0
73,G,73,Neto,4.5,4.5,Bournemouth,54.6,1.5239999999999998,56.4,1.5519999999999998,57.6,1.63,56.4,1.526,56.4,1.4,58.2,1.818,58.2,1.7560000000000002,58.2,3.4968115874999994,0.03,73,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,4.5,73,0,0.0
74,M,74,O.Dango,5.0,5.0,Bournemouth,29.4,1.318,31.2,1.4240000000000002,33.0,1.406,32.4,1.4240000000000002,32.4,1.19,33.0,1.756,33.0,1.5539999999999998,33.6,3.7091106749999994,0.0,74,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,5.0,74,0,0.0
75,G,75,Paulsen,4.0,4.0,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,75,0,0.0
76,M,76,Philip,5.0,5.0,Bournemouth,18.6,0.8440000000000001,21.0,0.972,23.4,1.004,22.2,0.986,22.2,0.84,23.4,1.2380000000000002,24.0,1.136,24.6,2.6156179,0.0,76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,5.0,76,0,0.0
77,M,77,Scott,5.0,5.0,Bournemouth,35.6,1.308,36.2,1.348,35.6,1.266,38.0,1.3840000000000001,37.4,1.152,37.4,1.6119999999999999,36.8,1.442,37.4,3.2292498124999995,0.0,77,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,5.0,77,0,0.0
78,M,78,Semenyo,5.5,5.5,Bournemouth,68.632,3.3760000000000003,69.832,3.5060000000000002,68.032,3.1879999999999997,66.832,3.0980000000000003,65.032,2.3819999999999997,65.632,3.7239999999999998,65.032,3.2460000000000004,63.832,6.512900562499999,0.01,78,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.0,5.5,78,0,0.0
79,D,79,Senesi,5.0,5.0,Bournemouth,88.8,2.792,87.0,2.414,85.8,2.474,85.2,2.092,85.2,1.1840000000000002,84.0,3.2439999999999998,82.8,2.5839999999999996,83.4,4.5192418750000005,0.01,79,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,5.0,79,0,0.0
80,M,80,Sinisterra,5.0,5.0,Bournemouth,37.6,1.7080000000000002,37.6,1.7480000000000002,37.0,1.61,35.8,1.6160000000000003,34.6,1.2819999999999998,34.0,1.8840000000000001,35.2,1.716,34.0,3.9747298875,0.0,80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,5.0,80,0,0.0
81,D,81,Smith,4.5,4.5,Bournemouth,76.8,2.17,75.0,1.89,73.2,1.906,72.6,1.62,73.2,0.972,72.6,2.414,72.6,1.9639999999999997,70.8,3.5786306375,0.0,81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,4.5,81,0,0.0
82,F,82,Solanke,7.5,7.5,Bournemouth,86.4,4.976,84.0,4.763999999999999,82.8,4.18,81.6,4.058,81.6,4.084,81.0,5.046,80.4,4.4799999999999995,81.6,10.708152275,0.11,82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,7.5,82,0,0.0
83,M,83,Tavernier,5.5,5.5,Bournemouth,65.2,2.8760000000000003,65.2,2.9620000000000006,63.4,2.676,62.2,2.742,61.6,2.198,61.0,3.352,59.8,2.908,60.4,6.192177749999998,0.0,83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,5.5,83,0,0.0
84,G,84,Travers,4.5,4.5,Bournemouth,64.0,2.38,61.0,2.1600000000000006,59.0,2.13,61.0,2.04,61.0,1.99,58.0,2.28,58.0,2.18,58.0,7.283422124999999,0.0,84,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,84,0,0.0
85,D,85,Zabarnyi,4.5,4.5,Bournemouth,91.2,2.588,88.2,2.176,87.0,2.254,85.8,1.86,86.4,1.036,85.2,2.81,85.2,2.284,84.6,4.158706062499999,0.01,85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,4.5,85,0,0.0
86,D,86,Ajer,4.5,4.5,Brentford,49.8,1.38,51.0,0.6920000000000001,53.4,1.38,54.0,0.522,54.6,0.8080000000000002,55.8,1.258,55.8,1.43,54.6,2.8087093125,0.0,86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,4.5,86,0,0.0
