Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
D,610,Bassey,4.4,4.4,Fulham,89,2.62,86,2.35,83,2.15,83,1.58,81,3.10,80,2.20,80,1.45,79,2.39,0.00
D,611,Disasi,4.9,4.9,Chelsea,85,2.62,81,3.57,76,2.98,73,1.51,72,1.81,72,4.71,69,4.38,66,2.44,0.00
M,613,Ugochukwu,4.4,4.4,Chelsea,0,0.00,0,0.00,1,0.06,8,0.31,13,0.49,10,0.82,10,0.84,11,0.46,0.00
G,614,Kaminski,4.5,4.5,Luton,94,3.01,93,3.19,93,3.02,92,3.28,92,3.16,92,3.29,91,3.05,92,3.21,0.07
M,615,Matheus França,4.8,4.8,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,616,Gvardiol,4.8,4.8,Man City,86,3.98,82,4.11,73,4.13,64,2.71,64,3.07,60,3.28,59,4.63,60,3.04,0.03
F,617,Højlund,7.0,7.0,Man Utd,83,3.79,79,3.47,76,3.96,72,4.22,72,4.81,74,3.68,72,7.34,71,3.61,0.00
M,618,Kellyman,4.5,4.5,Aston Villa,1,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,619,Greenwood,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,620,Olakigbe,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,621,Hinshelwood,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,13,0.51,28,2.10,30,1.14,0.00
D,622,Dodgson,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,623,Burstow,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,624,Dobbin,4.5,4.5,Everton,0,0.00,2,0.19,2,0.13,3,0.42,4,0.28,3,0.22,3,0.25,3,0.22,0.00
D,625,De Fougerolles,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,626,Quansah,4.0,4.0,Liverpool,8,0.30,14,0.42,14,0.57,14,0.98,15,0.51,16,0.51,15,0.44,12,0.49,0.00
M,627,Clark,4.4,4.4,Liverpool,1,0.12,1,0.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,628,Doak,4.3,4.3,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,629,McConnell,4.4,4.4,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,630,Barkley,5.0,5.0,Luton,89,2.57,84,3.44,84,2.32,81,3.52,80,2.92,78,3.08,76,2.77,75,3.07,0.02
F,631,Brown,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,10,0.54,21,0.95,42,1.94,48,2.07,40,2.00,0.00
M,632,Forson,4.4,4.4,Man Utd,7,0.34,10,0.42,10,0.47,10,0.50,12,0.60,12,0.56,12,1.07,12,0.53,0.00
D,633,Livramento,4.1,4.1,Newcastle,39,1.54,36,1.26,37,1.12,39,1.56,42,2.11,40,1.61,42,2.66,42,1.44,0.01
D,634,A.Murphy,3.9,3.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,635,Miley,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,15,0.70,20,1.80,22,1.01,0.00
G,636,G.Shelvey,3.9,3.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,637,Powell,3.9,3.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,638,Vini Souza,5.0,5.0,Sheffield Utd,83,1.89,83,1.99,81,2.01,80,4.12,79,1.89,78,2.07,77,1.87,77,1.87,0.00
D,639,Van de Ven,4.4,4.4,Spurs,78,2.23,77,3.23,76,1.86,0,0.00,73,1.76,72,2.76,69,4.43,71,2.79,0.00
F,640,Scarlett,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,641,Veliz,5.4,5.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,642,Álvarez,5.0,5.0,West Ham,0,0.00,80,2.25,80,2.35,79,2.20,77,2.01,78,2.01,75,2.45,79,1.80,0.00
D,643,Aarons,4.4,4.4,Bournemouth,32,1.41,50,1.80,46,1.41,46,2.70,47,1.65,45,0.76,47,1.84,48,1.08,0.00
M,644,Scott,4.9,4.9,Bournemouth,38,1.66,29,1.35,28,1.26,29,2.41,30,1.36,28,1.05,29,1.39,27,1.09,0.00
F,645,Y. Chermiti,4.8,4.8,Everton,0,0.00,1,0.14,1,0.09,1,0.21,1,0.13,0,0.00,2,0.16,1,0.10,0.00
G,646,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,647,Anang,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,648,Francis-Clarke,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,649,Cannon,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,650,Onyango,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,651,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,652,Dibley-Dias,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,653,Seriki,3.9,3.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,654,Marsh,4.5,4.5,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,655,Brooks,4.4,4.4,Sheffield Utd,9,0.40,15,0.62,18,0.75,16,1.35,13,0.54,12,0.50,13,0.52,12,0.49,0.00
F,656,Hackford,4.4,4.4,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,657,Rak-Sakyi,4.5,4.5,Crystal Palace,2,0.13,5,0.22,6,0.31,5,0.56,4,0.24,4,0.25,4,0.25,3,0.22,0.00
F,658,Gordon,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,659,Bergström,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,660,Odobert,5.0,5.0,Burnley,76,3.45,73,2.84,72,3.15,68,3.11,67,2.55,68,3.00,66,2.46,66,3.04,0.00
M,661,Harrison,5.5,5.5,Everton,87,3.54,85,4.28,80,2.98,79,6.64,79,3.90,78,3.60,77,4.08,77,2.49,0.00
M,662,Adama,4.9,4.9,Fulham,19,1.06,21,1.19,21,1.12,22,1.12,25,1.44,25,1.38,25,1.16,25,1.48,0.00
M,663,Hamer,4.9,4.9,Sheffield Utd,80,2.15,61,1.88,46,1.51,58,3.86,74,2.23,71,2.48,71,2.14,71,2.25,0.00
M,664,Ward-Prowse,5.9,5.9,West Ham,82,3.31,70,2.81,69,3.05,71,2.80,70,2.60,70,2.55,70,3.58,75,2.27,0.00
G,665,Krul,4.4,4.4,Luton,0,0.00,2,0.06,2,0.06,3,0.10,3,0.10,3,0.11,3,0.12,3,0.12,0.00
M,666,T.Davies,5.0,5.0,Sheffield Utd,0,0.00,0,0.00,0,0.00,3,0.22,9,0.37,23,0.94,30,1.06,23,0.90,0.00
M,667,Lavia,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,668,Endo,5.4,5.4,Liverpool,58,2.41,58,1.93,47,1.83,47,3.20,47,1.64,47,1.69,43,1.47,45,1.76,0.00
G,669,Vítek,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,670,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,671,Humphreys,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,672,Zaniolo,5.4,5.4,Aston Villa,20,0.94,10,0.65,8,0.43,8,0.61,8,0.55,10,0.59,9,0.54,10,0.58,0.00
M,673,Adams,4.9,4.9,Bournemouth,58,1.64,54,1.51,46,1.28,47,2.52,46,1.30,47,1.15,46,1.36,49,1.23,0.00
D,674,Delcroix,4.0,4.0,Burnley,16,0.51,15,0.40,16,0.44,15,0.48,15,0.28,16,0.40,15,0.24,15,0.48,0.00
M,675,A.Ramsey,5.0,5.0,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,676,Mavropanos,4.5,4.5,West Ham,79,2.11,76,2.45,76,2.77,73,2.56,72,1.57,71,1.60,69,2.97,70,0.94,0.00
F,677,Deivid,4.5,4.5,Chelsea,2,0.16,4,0.38,2,0.20,2,0.14,2,0.16,1,0.23,1,0.14,2,0.15,0.00
M,678,Doku,6.4,6.4,Man City,50,3.04,51,2.84,52,3.77,50,2.81,50,2.94,49,3.22,49,5.42,50,3.18,0.00
D,679,G.Montiel,4.4,4.4,Nott'm Forest,11,0.46,12,0.35,14,0.61,15,0.54,15,0.42,16,0.67,17,0.61,16,0.64,0.00
G,680,Beach,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,681,Diego Moreira,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,682,Johnson,4.0,4.0,Luton,19,0.27,19,0.52,34,0.33,10,0.28,8,0.20,5,0.14,4,0.09,5,0.12,0.00
M,683,Harris,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,684,Brierley,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,685,Gore,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,686,Zych,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,687,Petrović,4.6,4.5,Chelsea,93,3.34,92,3.82,89,3.54,86,2.84,84,2.88,85,6.17,83,6.07,82,3.14,0.17
D,688,Castagne,4.6,4.6,Fulham,84,2.84,79,2.60,77,2.33,75,1.75,74,3.29,73,2.39,72,1.53,72,2.61,0.01
M,689,Kudus,6.8,6.8,West Ham,87,3.82,80,3.45,79,3.75,75,3.13,75,2.93,75,2.82,76,4.25,74,2.27,0.00
M,690,Baleba,4.5,4.5,Brighton,54,1.77,50,1.53,41,1.48,40,1.26,41,1.38,31,1.14,20,1.59,17,0.72,0.00
F,691,Beto,5.7,5.7,Everton,51,2.99,49,3.46,49,2.57,48,5.54,47,3.23,48,3.07,48,3.51,47,2.06,0.00
G,692,Benda,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,693,Thomas,4.0,4.0,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,694,Massengo,4.9,4.9,Burnley,0,0.00,1,0.05,2,0.09,3,0.13,4,0.15,5,0.18,4,0.14,4,0.15,0.00
G,695,Altay,4.0,4.0,Man Utd,1,0.04,1,0.04,3,0.09,3,0.12,4,0.16,4,0.15,4,0.29,4,0.14,0.00
D,696,Murillo,4.5,4.5,Nott'm Forest,89,2.82,86,1.44,84,3.03,83,2.17,81,1.38,80,2.87,79,2.04,80,2.58,0.00
D,697,S.Bueno,4.5,4.5,Wolves,52,1.63,43,1.35,25,0.76,20,1.08,20,0.76,22,0.30,21,0.79,23,0.32,0.00
M,698,González,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,699,Lenglet,4.5,4.5,Aston Villa,28,0.60,33,1.33,34,0.78,33,1.28,34,1.18,29,0.94,33,0.92,31,1.22,0.00
M,700,Ansu Fati,6.4,6.4,Brighton,60,3.50,58,2.69,51,3.28,43,1.99,44,2.54,42,2.56,41,4.74,38,2.37,0.00
M,701,Ghoddos,4.5,4.5,Brentford,15,0.75,17,0.74,12,0.66,11,0.53,13,0.55,12,0.60,13,0.57,14,0.66,0.00
D,702,Phillips,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,703,Evans,4.0,4.0,Man Utd,2,0.03,2,0.04,3,0.06,3,0.12,4,0.12,3,0.08,3,0.14,4,0.09,0.00
F,704,Fraser,4.5,4.5,Wolves,49,2.05,46,1.95,45,1.75,28,2.35,21,1.12,21,0.82,14,0.69,10,0.46,0.00
M,705,Sinisterra,5.5,5.5,Bournemouth,0,0.00,0,0.00,0,0.00,3,0.38,14,0.88,29,1.24,33,2.14,33,1.62,0.00
M,706,M.Trésor,5.3,5.3,Burnley,7,0.46,6,0.36,7,0.46,8,0.50,8,0.44,8,0.51,10,0.53,9,0.56,0.00
D,707,Ballo-Touré,4.5,4.5,Fulham,5,0.17,8,0.27,9,0.29,9,0.24,9,0.40,11,0.37,9,0.23,10,0.39,0.00
M,708,Gravenberch,5.0,5.0,Liverpool,17,0.99,15,0.75,13,0.72,11,1.15,12,0.60,10,0.56,10,0.53,10,0.58,0.00
M,709,Amrabat,5.0,5.0,Man Utd,6,0.21,7,0.24,8,0.31,8,0.34,10,0.40,6,0.21,7,0.50,6,0.24,0.00
G,710,Odysseas,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,711,Omobamidele,4.5,4.5,Nott'm Forest,25,0.76,18,0.32,20,0.68,21,0.54,22,0.40,22,0.75,22,0.56,22,0.67,0.00
M,712,Dominguez,5.0,5.0,Nott'm Forest,56,1.98,52,1.63,55,1.99,52,1.70,51,1.54,51,1.85,51,1.71,53,1.87,0.00
M,713,Sangaré,4.9,4.9,Nott'm Forest,59,1.93,59,1.66,60,1.97,57,1.70,57,1.58,58,1.90,57,1.73,55,1.80,0.00
F,714,Origi,5.0,5.0,Nott'm Forest,50,2.44,49,1.95,48,2.36,47,1.94,47,1.79,47,2.28,47,2.10,49,2.33,0.00
M,715,Bellegarde,4.9,4.9,Wolves,0,0.00,0,0.00,0,0.00,30,2.30,38,1.67,47,1.48,37,1.53,31,1.13,0.00
D,716,Gilchrist,4.0,4.0,Chelsea,13,0.43,11,0.44,5,0.22,4,0.11,3,0.09,2,0.11,2,0.16,2,0.10,0.00
F,717,Stutter,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,718,Matos,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,719,Hunt,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,720,Ola-Adebomi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,721,Ozoh,4.5,4.5,Crystal Palace,8,0.31,9,0.33,8,0.30,8,0.64,8,0.31,7,0.29,7,0.29,4,0.20,0.00
F,722,Donley,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,723,Brooking,4.0,4.0,Chelsea,1,0.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,724,Raymond,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,725,Kim Ji-Soo,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,726,Chambers,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,727,Townsend,5.0,5.0,Luton,58,2.15,58,2.96,58,2.05,45,2.52,39,1.90,32,1.70,29,1.44,24,1.38,0.00
D,728,Scanlon,3.9,3.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,729,Luker,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,730,Oné,4.4,4.4,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,731,Buyabu,4.0,4.0,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,732,Tanton,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,733,Adedokun,4.0,4.0,Brentford,0,0.00,1,0.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,734,Nelson,4.5,4.5,Luton,2,0.08,0,0.00,1,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,735,Sagoe,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,736,Walters,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,737,Ibrahim,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,738,Diallo,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,739,Parkinson,4.5,4.5,Newcastle,4,0.24,2,0.12,1,0.10,3,0.20,3,0.18,2,0.15,1,0.10,0,0.00,0.00
D,740,Dorrington,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,741,O’Mahony,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,742,Baker-Boaitey,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,743,Nyoni,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,744,Peart-Harris,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,745,Ndiweni,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,746,Jackson,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,747,Duffus,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,748,Hugill,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,749,Whittingham,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,750,Chirewa,4.4,4.4,Wolves,5,0.29,5,0.27,7,0.34,4,0.41,3,0.17,5,0.24,3,0.15,2,0.08,0.00
D,751,Hubner,4.0,4.0,Wolves,1,0.04,2,0.04,1,0.03,0,0.00,0,0.00,1,0.02,1,0.03,0,0.00,0.00
G,752,Angelini,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,753,Kavanagh,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,754,Yago Santiago,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,755,Barrington,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,756,Pitaluga,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,757,Bradley,4.2,4.1,Liverpool,65,4.51,51,2.39,26,1.58,19,1.91,20,1.00,21,1.05,21,0.97,21,1.30,0.25
M,758,Castledine,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,759,Peck,4.4,4.4,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,760,Metcalfe,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,761,Campbell,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,762,Susoho,4.5,4.5,Man City,0,0.00,0,0.00,1,0.08,0,0.00,1,0.07,0,0.00,0,0.00,1,0.07,0.00
D,763,Adaramola,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,764,Lewis-Skelly,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,765,Proctor,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,766,Kambwala,3.9,3.9,Man Utd,1,0.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,767,O'Reilly,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,768,Bennett,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,769,Hesketh,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,770,Barnett,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,771,Hamilton,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,772,Nwaneri,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,773,Orford,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,774,Casey,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,775,Brereton Díaz,5.0,5.0,Sheffield Utd,72,2.60,69,2.90,67,2.92,66,6.23,65,2.68,65,3.18,63,2.55,63,2.77,0.00
F,776,Werner,6.3,6.3,Spurs,27,1.89,31,2.32,35,2.33,0,0.00,35,2.00,35,4.01,36,4.98,37,2.70,0.00
D,777,Drăgușin,4.2,4.2,Spurs,21,0.66,26,1.13,30,0.82,0,0.00,34,0.86,34,1.46,35,2.40,34,1.43,0.00
G,778,Wright,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,779,McDonnell,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,780,Osong,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,781,Gardner,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,782,Beck,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,783,Gordon,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,784,Scarles,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,785,Marshall,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,786,Peupion,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,787,Griffiths,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,788,Mosquera,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,789,Valdimarsson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,790,Grbić,4.5,4.5,Sheffield Utd,94,2.96,91,2.85,91,2.99,91,6.35,90,2.82,90,3.26,88,2.84,88,2.81,0.00
M,791,Casadei,4.5,4.5,Chelsea,7,0.41,10,0.62,6,0.40,6,0.31,7,0.38,3,0.44,4,0.46,4,0.28,0.00
D,792,Muñoz,4.5,4.5,Crystal Palace,87,2.35,85,1.67,84,1.16,83,5.29,82,2.25,79,2.32,79,2.55,78,2.36,0.00
D,793,Kesler-Hayden,4.0,4.0,Aston Villa,7,0.18,8,0.34,7,0.18,4,0.17,2,0.09,1,0.04,2,0.07,2,0.09,0.00
