Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
D,260,Mykolenko,4.6,4.6,Everton,89,2.61,86,2.19,83,3.96,84,2.02,81,5.50,82,3.40,81,3.04,81,4.13,81,1.49,0.00
M,261,Onana,4.7,4.7,Everton,58,1.79,56,1.67,54,1.93,54,1.54,54,3.41,53,1.81,54,1.76,53,1.99,54,1.43,0.00
D,262,Patterson,4.3,4.3,Everton,6,0.20,9,0.26,9,0.37,10,0.28,13,0.85,12,0.48,14,0.52,13,0.61,13,0.30,0.00
G,263,Pickford,4.6,4.6,Everton,94,3.34,92,3.17,91,3.88,91,3.10,90,6.67,90,3.58,90,3.49,90,4.00,89,2.89,0.01
F,264,Simms,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,265,Tarkowski,4.6,4.6,Everton,92,2.53,90,2.12,89,4.00,88,1.95,87,5.50,86,3.38,86,3.00,85,4.13,86,1.44,0.00
G,266,J.Virginia,3.9,3.9,Everton,1,0.04,3,0.09,4,0.17,3,0.12,4,0.32,5,0.20,5,0.18,4,0.20,5,0.17,0.00
M,267,Andreas,5.3,5.3,Fulham,70,4.38,70,3.52,68,3.98,70,3.48,70,3.26,70,4.18,69,3.57,69,2.79,68,3.90,0.00
M,268,Cairney,4.9,4.9,Fulham,29,1.44,30,1.32,30,1.40,31,1.33,33,1.34,36,1.66,36,1.55,39,1.41,38,1.68,0.00
M,269,I.Cavaleiro,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,270,De Cordova-Reid,5.3,5.3,Fulham,17,1.05,18,0.99,21,1.24,20,1.08,24,1.18,22,1.31,24,1.29,24,1.09,24,1.38,0.00
D,271,Diop,4.4,4.4,Fulham,10,0.40,15,0.49,19,0.58,22,0.64,24,0.55,24,0.98,25,0.75,24,0.48,25,0.85,0.00
M,272,Francois,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,273,Knockaert,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,274,Kongolo,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,275,Leno,4.8,4.8,Fulham,94,3.81,93,3.61,92,3.35,91,3.33,91,3.01,91,3.74,90,3.33,91,2.95,91,3.49,0.03
M,276,Lukić,4.3,4.3,Fulham,25,1.24,28,1.20,30,1.40,32,1.32,31,1.26,35,1.61,37,1.53,40,1.43,39,1.72,0.00
D,277,Mbabu,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,278,Mitrović,7.4,7.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,279,Muniz,4.6,4.6,Fulham,72,4.42,69,3.48,67,3.91,64,3.22,64,3.07,62,3.68,65,3.44,63,2.61,63,3.65,0.02
M,280,J.Palhinha,5.0,5.0,Fulham,90,2.87,87,2.46,85,2.52,80,2.21,75,1.99,69,2.21,63,1.82,59,1.47,58,1.80,0.00
D,281,Ream,4.5,4.5,Fulham,0,0.00,3,0.10,4,0.13,4,0.14,6,0.15,6,0.24,6,0.19,8,0.18,8,0.26,0.00
M,282,Reed,4.5,4.5,Fulham,40,1.64,38,1.42,37,1.44,41,1.46,42,1.44,41,1.62,43,1.55,41,1.33,43,1.63,0.00
D,283,Robinson,4.6,4.6,Fulham,90,3.60,87,2.88,85,2.60,84,2.37,83,1.73,83,3.42,81,2.46,81,1.45,81,2.75,0.03
G,284,Rodák,3.9,3.9,Fulham,1,0.04,2,0.07,3,0.10,4,0.13,4,0.14,4,0.17,5,0.17,4,0.14,4,0.16,0.00
D,285,Tete,4.4,4.4,Fulham,11,0.52,14,0.57,17,0.65,17,0.61,18,0.55,20,0.91,20,0.75,21,0.57,22,0.88,0.00
D,286,Tosin,4.3,4.3,Fulham,89,3.45,85,2.74,84,2.48,82,2.25,79,1.62,79,3.16,80,2.37,79,1.39,79,2.62,0.00
F,287,Vinícius,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,288,Wilson,5.3,5.3,Fulham,52,3.24,52,2.70,53,3.08,52,2.62,52,2.45,50,3.02,50,2.65,51,2.13,51,2.93,0.00
G,289,Adrián,3.9,3.9,Liverpool,1,0.05,2,0.09,2,0.06,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,290,Alexander-Arnold,8.5,8.5,Liverpool,0,0.00,9,0.68,22,1.00,48,3.18,78,7.49,77,3.83,76,3.73,75,3.33,75,4.72,0.00
G,291,A.Becker,5.8,5.8,Liverpool,27,1.10,46,2.23,59,2.23,90,4.11,92,7.21,91,3.65,91,3.43,90,3.35,90,3.96,0.00
M,292,Bajcetic,4.7,4.7,Liverpool,3,0.13,5,0.21,6,0.25,5,0.22,7,0.52,7,0.27,6,0.27,7,0.29,6,0.27,0.00
F,293,Darwin,7.5,7.5,Liverpool,61,4.20,77,6.06,75,4.64,68,4.99,64,7.84,67,4.23,66,4.71,65,4.19,66,4.86,0.00
M,294,Diogo J.,8.0,8.0,Liverpool,0,0.00,8,0.66,14,0.97,32,2.47,53,6.70,53,3.42,52,3.73,53,3.40,54,4.08,0.00
M,295,Elliott,4.8,4.8,Liverpool,26,1.56,27,1.77,24,1.36,19,1.23,17,1.94,18,1.05,17,1.06,19,1.08,18,1.16,0.00
M,296,Fabinho,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,297,Gakpo,7.2,7.2,Liverpool,47,3.10,36,2.78,35,2.19,31,2.26,26,3.23,25,1.63,26,1.85,25,1.65,26,1.89,0.00
D,298,Gomez,4.6,4.6,Liverpool,60,2.30,56,2.79,55,1.71,46,2.15,41,2.99,45,1.63,42,1.42,44,1.37,40,1.79,0.00
M,299,Henderson,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,300,Jones,4.9,4.9,Liverpool,17,0.78,28,1.39,36,1.46,50,2.33,53,4.33,52,2.17,52,2.23,50,2.06,50,2.33,0.00
G,301,Kelleher,3.8,3.8,Liverpool,67,2.72,47,2.22,34,1.25,5,0.21,3,0.21,3,0.14,4,0.15,5,0.17,5,0.23,0.03
D,302,Konaté,4.9,4.9,Liverpool,25,0.94,42,2.11,53,1.57,79,3.59,79,5.34,78,2.63,80,2.48,79,2.26,75,3.26,0.00
M,303,Luis Díaz,7.5,7.5,Liverpool,82,4.98,76,5.55,74,4.12,68,4.64,62,7.04,63,3.67,63,3.96,62,3.58,61,4.11,0.00
M,304,Mac Allister,5.8,5.8,Liverpool,80,3.60,77,4.03,76,3.08,73,3.55,73,5.95,72,3.03,74,3.30,71,2.92,72,3.50,0.00
D,305,Matip,4.8,4.8,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,10,0.47,0.00
D,306,Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,307,Robertson,6.4,6.4,Liverpool,69,3.56,65,4.35,61,2.57,59,3.54,57,5.20,55,2.54,54,2.48,53,2.18,56,3.25,0.00
M,308,Salah,13.0,13.0,Liverpool,90,7.20,85,8.27,84,5.93,82,7.09,81,10.86,79,5.57,79,6.33,80,5.55,78,6.64,0.01
M,309,Szoboszlai,7.1,7.1,Liverpool,76,4.47,71,4.89,67,3.54,65,3.98,63,6.38,60,3.19,62,3.54,62,3.21,62,3.71,0.00
M,310,Thiago,4.7,4.7,Liverpool,5,0.23,8,0.43,10,0.47,14,0.69,14,1.24,14,0.62,14,0.67,14,0.63,15,0.72,0.00
D,311,Tsimikas,4.5,4.5,Liverpool,11,0.58,13,0.78,13,0.58,10,0.58,8,0.71,9,0.45,10,0.48,11,0.49,9,0.50,0.00
D,312,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,313,Virgil,6.5,6.5,Liverpool,92,3.80,89,4.86,86,2.85,85,4.20,84,6.29,83,3.15,83,2.92,83,2.69,83,3.94,0.02
F,314,Adebayo,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,14,0.49,52,2.58,65,2.64,75,3.27,74,2.96,73,3.38,0.00
D,315,Andersen,3.9,3.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,6,0.18,18,0.44,37,1.10,59,1.25,51,1.37,0.00
D,316,Bell,3.9,3.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,22,0.61,0.00
M,317,Berry,4.6,4.6,Luton,19,0.82,19,0.76,11,0.56,14,0.57,9,0.48,7,0.34,5,0.25,3,0.19,3,0.15,0.00
D,318,Burke,4.0,4.0,Luton,91,1.17,87,1.02,86,2.32,85,0.52,80,2.49,71,1.81,60,1.91,47,1.14,40,1.20,0.18
M,319,Campbell,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,320,Clark,4.8,4.8,Luton,59,1.95,66,1.94,47,1.93,47,1.44,38,1.59,39,1.45,37,1.45,36,1.35,32,1.34,0.00
D,321,Doughty,4.7,4.6,Luton,67,1.47,82,1.43,84,3.41,84,0.91,82,3.65,81,2.68,78,3.30,77,2.40,75,3.08,0.97
M,322,Freeman,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,323,Macey,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,324,McAtee,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,325,Mendes,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,326,Morris,5.2,5.2,Luton,85,3.39,81,2.85,78,4.10,74,2.44,67,3.58,68,2.93,67,3.14,65,2.81,66,3.34,0.84
F,327,Muskwe,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,328,Ogbene,4.9,4.9,Luton,84,2.81,80,2.40,77,3.12,75,2.15,72,2.94,69,2.44,70,2.59,70,2.42,68,2.64,0.00
M,329,Onyedinma,5.0,5.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,330,Osho,4.4,4.4,Luton,46,0.57,62,0.70,75,1.90,85,0.46,83,2.42,83,1.90,83,2.37,82,1.69,81,2.08,0.00
F,331,Pepple,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,332,Pereira,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,333,Potts,3.9,3.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,4,0.14,12,0.35,18,0.63,22,0.61,19,0.65,0.00
M,334,Rea,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,335,Shea,4.3,4.3,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,336,Taylor,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,337,Thorpe,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,338,Walton,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,339,Watson,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,340,Woodrow,4.3,4.3,Luton,27,1.30,24,1.06,20,1.22,15,0.66,6,0.45,4,0.29,3,0.24,3,0.20,4,0.27,0.00
D,341,Akanji,4.9,4.9,Man City,53,1.94,54,2.47,54,2.58,57,3.04,54,2.15,54,2.53,56,2.85,58,4.37,56,2.76,0.00
D,342,Aké,5.1,5.1,Man City,54,2.04,56,2.67,56,2.77,56,3.12,58,2.35,56,2.69,54,2.90,56,4.40,56,2.88,0.02
F,343,J.Alvarez,6.5,6.5,Man City,60,3.31,57,3.98,54,3.59,55,4.74,56,3.51,56,3.80,56,4.20,55,7.13,54,4.08,0.00
M,344,Bernardo,6.2,6.2,Man City,60,2.54,59,3.04,58,2.93,57,3.58,58,2.66,57,2.94,56,3.18,56,5.40,58,3.22,0.00
M,345,Bobb,4.4,4.4,Man City,7,0.48,8,0.68,9,0.72,12,1.12,12,0.84,12,0.91,13,1.05,14,1.96,15,1.18,0.00
D,346,Cancelo,5.8,5.8,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,347,Carson,3.8,3.8,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,348,Charles,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,349,De Bruyne,10.5,10.5,Man City,56,3.12,63,4.40,68,4.58,66,5.84,66,4.08,65,4.49,65,5.01,64,8.20,64,4.89,0.00
D,350,Rúben,5.5,5.5,Man City,75,2.78,72,3.35,71,3.48,70,3.88,71,2.91,69,3.31,69,3.65,66,5.15,67,3.39,0.01
M,351,Doyle,4.4,4.4,Wolves,32,1.30,34,1.48,36,1.54,40,1.60,40,1.44,32,1.55,0,0.00,32,2.77,32,1.16,0.00
G,352,Ederson M.,5.5,5.5,Man City,60,2.35,72,3.09,85,3.80,92,4.36,92,3.65,91,4.00,91,4.23,91,7.04,90,4.08,0.00
M,353,Foden,8.1,8.1,Man City,83,4.32,77,4.99,76,4.69,74,6.00,73,4.17,73,4.66,73,5.14,71,8.36,71,4.93,0.06
M,354,Grealish,7.2,7.2,Man City,29,1.58,31,2.01,31,1.98,34,2.70,34,2.02,36,2.30,35,2.47,35,4.17,35,2.40,0.00
F,355,Haaland,14.3,14.3,Man City,89,5.62,85,7.02,82,6.30,81,8.54,82,5.79,79,6.24,79,7.18,79,11.57,79,7.04,0.05
M,356,Kovačić,4.6,4.6,Man City,38,1.52,40,1.81,42,1.87,42,2.22,44,1.83,41,1.86,41,1.99,42,3.50,44,2.06,0.00
D,357,Laporte,4.9,4.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,358,R.Lewis,4.2,4.2,Man City,7,0.28,9,0.46,11,0.57,15,0.82,15,0.67,15,0.76,16,0.85,16,1.43,17,0.92,0.00
M,359,Mahrez,7.5,7.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,360,McAtee,4.4,4.4,Sheffield Utd,66,2.73,64,2.16,62,2.42,60,2.36,61,5.08,58,2.19,59,2.61,59,2.18,59,2.38,0.00
G,361,Ortega Moreno,3.7,3.7,Man City,34,1.38,23,1.00,10,0.46,3,0.13,3,0.08,4,0.17,4,0.19,4,0.32,5,0.23,0.00
M,362,Palmer,5.7,5.7,Chelsea,85,6.29,82,5.07,81,5.38,81,5.10,78,4.72,78,8.17,77,5.06,77,7.48,75,5.13,0.15
M,363,Perrone,4.4,4.4,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,364,Phillips,4.7,4.7,West Ham,63,1.80,63,1.86,30,1.05,31,1.12,32,1.13,33,1.09,33,1.07,32,1.24,0,0.00,0.00
M,365,Rodrigo,5.6,5.6,Man City,91,2.85,88,3.27,84,3.08,79,3.45,77,2.61,85,3.14,83,3.34,83,5.70,83,3.27,0.00
D,366,Sergio Gómez,3.8,3.8,Man City,0,0.00,0,0.00,0,0.00,1,0.07,2,0.05,2,0.09,1,0.09,2,0.21,3,0.16,0.00
G,367,Steffen,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,368,Stones,5.3,5.3,Man City,61,2.46,61,3.04,61,3.17,61,3.57,60,2.61,62,3.15,60,3.34,59,4.92,58,3.15,0.00
D,369,Walker,5.4,5.4,Man City,60,2.39,58,2.87,58,2.97,58,3.34,56,2.40,56,2.79,56,3.09,58,4.77,57,3.03,0.00
D,370,Alex Telles,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,371,Amad,4.4,4.4,Man Utd,0,0.00,2,0.13,4,0.19,4,0.25,4,0.29,4,0.29,4,0.24,5,0.52,4,0.24,0.00
M,372,Antony,6.8,6.8,Man Utd,16,0.90,17,0.89,18,0.96,16,0.92,16,1.09,19,1.22,18,0.99,16,1.78,17,0.90,0.00
M,373,B.Fernandes,8.2,8.2,Man Utd,90,4.75,89,4.08,85,4.00,79,4.01,80,5.59,84,5.62,83,4.28,83,8.24,84,3.98,0.01
D,374,B.Williams,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,375,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,376,Casemiro,5.3,5.3,Man Utd,56,1.91,75,2.30,75,2.29,73,2.37,73,2.95,73,2.87,72,2.40,71,4.52,73,2.27,0.00
D,377,Dalot,5.2,5.2,Man Utd,89,2.92,87,2.19,84,1.88,83,2.30,79,4.03,78,3.68,72,2.56,70,3.91,66,1.73,0.00
M,378,Elanga,5.1,5.1,Nott'm Forest,75,3.55,72,3.28,73,2.77,70,3.34,69,2.74,69,2.39,69,3.35,69,2.92,67,3.08,0.25
M,379,Eriksen,5.8,5.8,Man Utd,9,0.52,9,0.45,12,0.61,13,0.67,14,0.83,13,0.80,11,0.61,13,1.32,12,0.60,0.00
D,380,Fernandez,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,381,Fred,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,382,Garnacho,4.9,4.9,Man Utd,86,4.11,83,3.53,80,3.46,81,3.80,79,5.04,78,4.76,80,3.77,80,7.24,79,3.44,0.01
M,383,Hannibal,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,384,Heaton,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,385,Henderson,4.4,4.4,Crystal Palace,1,0.05,3,0.10,5,0.15,5,0.15,5,0.34,5,0.17,7,0.26,7,0.24,6,0.20,0.00
D,386,Lindelof,4.5,4.5,Man Utd,32,1.05,36,0.96,39,0.90,36,1.03,34,1.60,28,1.24,22,0.76,17,0.91,17,0.44,0.00
D,387,Maguire,4.2,4.2,Man Utd,83,2.66,80,2.00,79,1.74,69,1.88,60,2.87,55,2.50,53,1.84,55,3.02,55,1.42,0.00
M,388,Mainoo,4.4,4.4,Man Utd,69,2.22,64,1.98,66,1.99,65,2.06,65,2.51,66,2.42,64,2.09,67,4.12,66,2.00,0.00
D,389,Malacia,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,5,0.20,17,0.80,40,1.47,58,3.33,50,1.38,0.00
F,390,Martial,6.4,6.4,Man Utd,0,0.00,2,0.13,4,0.26,7,0.48,12,0.86,12,0.87,11,0.72,11,1.37,12,0.74,0.00
D,391,Martinez,4.7,4.7,Man Utd,0,0.00,0,0.00,0,0.00,26,0.73,57,2.74,70,3.15,74,2.55,70,3.82,72,1.83,0.00
M,392,McTominay,4.6,4.6,Man Utd,26,0.96,23,0.79,24,0.82,27,0.97,25,1.09,25,1.09,25,0.93,25,1.82,25,0.87,0.00
D,393,Mengi,3.9,3.9,Luton,90,1.05,86,0.94,84,2.10,81,0.47,80,2.31,79,1.80,78,2.24,77,1.59,78,1.99,0.01
M,394,Pellistri,4.2,4.2,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,395,R.Varane,4.9,4.9,Man Utd,87,2.73,83,2.06,80,1.75,71,1.90,59,2.71,55,2.40,54,1.81,53,2.82,51,1.30,0.00
M,396,Rashford,8.4,8.4,Man Utd,80,4.66,77,3.95,75,3.94,75,4.28,72,5.69,71,5.22,73,4.18,72,7.93,72,3.77,0.01
M,397,Sancho,6.7,6.7,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,398,Shaw,5.2,5.2,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.23,19,0.58,0.00
F,399,Shoretire,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,400,Van de Beek,4.7,4.7,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,401,Wan-Bissaka,4.4,4.4,Man Utd,82,2.59,79,1.96,79,1.72,78,2.10,74,3.54,69,3.07,59,2.03,50,2.76,47,1.25,0.00
M,402,Almirón,6.0,6.0,Newcastle,56,3.23,52,2.96,49,2.53,50,2.79,48,2.55,48,3.32,48,2.81,46,4.93,45,2.43,0.00
M,403,Anderson,4.2,4.2,Newcastle,15,0.88,16,0.85,19,0.94,22,1.17,24,1.18,21,1.26,19,1.03,14,1.50,11,0.59,0.00
D,404,Ashby,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,405,Botman,4.5,4.5,Newcastle,64,2.24,78,2.88,83,2.19,81,2.09,80,2.62,79,3.67,77,2.80,78,4.33,78,2.35,0.01
M,406,Bruno G.,5.8,5.8,Newcastle,91,3.07,88,2.93,80,2.42,71,2.31,67,2.11,81,3.29,81,2.73,80,4.98,80,2.49,0.00
D,407,Burn,4.4,4.4,Newcastle,77,3.04,70,2.90,66,2.05,65,1.99,65,2.41,64,3.37,63,2.56,61,3.96,63,2.18,0.01
G,408,Darlow,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,409,Dubravka,4.2,4.2,Newcastle,93,3.56,92,3.60,93,3.26,92,3.16,83,3.10,66,2.86,35,1.37,5,0.31,5,0.17,0.10
M,410,Fraser,4.9,4.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,411,Gillespie,3.9,3.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,412,Gordon,6.1,6.1,Newcastle,66,3.52,77,4.00,81,3.69,79,3.92,77,3.55,80,5.15,79,4.07,79,7.41,78,3.66,0.01
M,413,Hayden,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,414,Hendrick,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,415,Isak,7.5,7.5,Newcastle,83,5.65,78,5.10,75,4.44,74,4.92,72,4.26,70,5.83,70,4.61,65,8.05,61,3.76,0.00
M,416,Joelinton,5.8,5.8,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21,0.89,47,3.69,65,2.54,0.00
D,417,Krafth,4.4,4.4,Newcastle,10,0.39,7,0.25,4,0.12,3,0.09,4,0.10,4,0.18,4,0.14,4,0.24,4,0.14,0.00
M,418,Kuol,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,419,Lascelles,3.9,3.9,Newcastle,22,0.82,15,0.51,13,0.37,15,0.41,16,0.53,18,0.81,19,0.71,17,1.00,15,0.46,0.01
D,420,J.Lewis,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,421,Longstaff,4.8,4.8,Newcastle,83,2.89,81,2.78,78,2.45,77,2.55,77,2.50,72,2.94,71,2.48,66,4.27,64,2.10,0.00
D,422,Manquillo,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,423,J.Murphy,4.8,4.8,Newcastle,42,2.32,39,2.12,39,1.94,38,2.02,41,2.02,40,2.56,39,2.11,37,3.80,33,1.76,0.00
G,424,Pope,5.3,5.3,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,9,0.30,26,1.12,58,2.22,90,6.35,90,3.26,0.00
M,425,Ritchie,4.3,4.3,Newcastle,3,0.19,3,0.15,2,0.10,2,0.11,2,0.11,3,0.17,3,0.14,2,0.16,2,0.11,0.00
M,426,Saint-Maximin,6.0,6.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,427,Schär,5.4,5.4,Newcastle,91,3.44,86,3.41,84,2.40,83,2.33,81,2.81,79,4.00,79,3.03,80,4.72,80,2.54,0.00
D,428,Targett,4.2,4.2,Newcastle,13,0.56,11,0.45,8,0.27,7,0.24,9,0.35,9,0.45,9,0.38,10,0.65,9,0.34,0.00
M,429,Tonali,5.2,5.2,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,430,Trippier,6.7,6.7,Newcastle,45,2.07,56,2.67,74,2.54,83,2.91,81,3.33,79,4.94,81,3.71,80,5.79,80,3.07,0.01
